name, foodDescription, fullWebsite, shortWebsite, Locations,  ownerImage, foodImage, lat, lng
Hoyo's Kitchen , Somali Cuisine, http://hoyoskitchen.com/, hoyoskitchen.com, Downtown / Westerville , hoyoOwner.png, hoyoFood.jpg, 40.0886, -82.9484
Upper Cup Coffee Co, Cafe / Coffee Shop, http://www.uppercupcoffee.com/, uppercupcoffee.com, Old Town East / Gahanna, upperCupOwner.jpg, upperCupFood.jpg, 39.9626 , -82.9819
Upper Cup Coffee Co, Cafe / Coffee Shop, http://www.uppercupcoffee.com/, uppercupcoffee.com, Old Town East / Gahanna, upperCupOwner.jpg, upperCupFood.jpg, 40.0211, -82.8796
